"Pelu Taele
"Timo Tagaloa
"Sam Tagataese
"Sailosi Tagicakibau
"Pingi Tala'apitaga
"Willie Talau
"Albert Talipeau
"Robert Tanielu
"Ben Tapuai
"Lama Tasi
"Tautalatasi Tasi
"Josh Tatupu
"Tony Tatupu
"Jordan Taufua
"Jorge Taufua
"Mark Taufua
"Jamie-Jerry Taulagi
"Misi Taulapapa
"Martin Taupau
"Taulima Tautai
"Ezra Taylor
"Joe Tekori
"Ben Te'o
"Jazz Tevaga
"Kane Thompson
"Junior Tia-Kilifi
"Neemia Tialata
"Chase Tiatia
"Filo Tiatia
"Caleb Timu
"Filipo Toala
"Isaia Toeava
"Kalolo Toleafoa
"Senio Toleafoa
"Onosai Tololima-Auva'a
"Joe Tomane
"Sio Tomkinson
"Jeremy Tomuli
"Lama Tone
"Willie Tonga
"Young Tonumaipea
"Ofisa Tonu'u
"Motu Tony
"Renouf To'omaga
"Jeffery Toomaga-Allen
"Stan To'omalatai
"Matt Toomua
"Ofisa Treviranus
"Ahsee Tuala
"Enari Tuala
"Belgium Tuatagaloa
"Lukhan Tui
"Ruby Tui
"Mose Tuiali'i
"Des Tuiavi'i
"Isaia Tuifua
"Taiasina Tuifu'a
"Sonny Tuigamala
"Va'aiga Tuigamala
"Alesana Tuilagi
"Anitelea Tuilagi
"Fred Tuilagi
"Freddie Tuilagi
"Henry Tuilagi
"Manu Tuilagi
"Sanele Vavae Tuilagi
"Kalolo Tuiloma
"Carlos Tuimavave
"Evarn Tuimavave
"Paddy Tuimavave
"Tony Tuimavave
"Patrick Tuipulotu
"Roger Tuivasa-Sheck
"Alatasi Tupou
"Jimmy Tupou
"Alisi Tupuailei
"Richard Turner
"Denning Tyrell
"Joseph Ualesi
"Braden Uele
"Tauvere Ugapo
"Ulia Ulia
"Wayne Ulugia
"Jack Umaga
"Mike Umaga
"Tana Umaga
"Thomas Umaga-Jensen
"Matt Utai
"Earl Va'a
"Justin Va'a
"Brando Va'aulu
"Mathew Vaea
"Chris Vaefaga
"Matt Vaega
"To’o Vaega
"Alfie Vaeluaga
"Joe Vagana
"Nigel Vagana
"Siaosi Vaili
"Alefaio Vaisuai
"Paterika Vaivai
"Taioalo Vaivai
"Gray Viane
"Daniel Vidot
"Tanner Vili
"Kitiona Viliamu
"Va'apu'u Vitale
"Lolagi Visinia
"Victor Vito
"Michael von Dincklage
"Ruben Wiki
"Bryan Williams
"Darrell Williams
"Daryl Williams
"Gavin Williams
"Niall Williams
"Nick Williams
"Paul Williams
"Sonny Bill Williams
"Tim Winitana
"Antonio Winterstein
"Frank Winterstein
"Psalm Wooching
"Matthew Wright
"Rudi Wulf
"Vincent Wulf
"Savaliga Afu
"Aukusitino Aitupe
"Marcus Alimonti
"Masei Amosa
"Patrick Asiata
"Suivai Ataga
"Sarai Bareman
"Demetrius Beauchamp
"Albert Bell
"Michael Boxall
"Nikko Boxall
"Dennis Bryce
"Filipo Bureta
"Chris Cahill
"Tim Cahill
"Paul Collins
"Jared Curtis
"Joseph Dan-Tyrell
"Shaun Easthope
"Amilale Esaroma
"Desmond Fa'aiuaso
"Vaalii Faalogo
"Sulifou Faaloua
"Sopo FaKaua
"Ben Falaniko
"Pita Falevalu
"Soe Falimaua
"Tama Fasavalu
"Lavalu Fatu
"Pati Feagiai
"Isaia Fealofi
"Tamoto Fenika
"Damien Fonoti
"Sandra Fruean
"Seth Galloway
"Luki Gosche
"Jordan Grantz
"Motu Hafoka
"Johnny Hall
"Faitalia Hamilton-Pama
"Ethan Hanns
"Dylan Hardie-Jordan
"Uasila'a Heleta
"Ismael D'Angelo Herrera
"Joseph Hoeflich
"Max Hoeflich
"Cameron Howieson
"Benson Hunt
"Faafetai Hunt
"Dane Ingham
"Jai Ingham
"Darrell Ioane
"Ne'emia Kaleopa
"Panweichi Kaleopa
"Bevan Kapisi
"Keone Kapisi
"Spencer Keli
"Peni Kitiona
"Sam Kome
"Casper Kuresa
"Vito Laloata
"Iofi Lalogafuafua
"Renee Leota
"Soliai Letutusa
"Lisi Leututu
"Mexico Leututu
